Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
"Condition, Survival and productivity of mule deer in semiarid grassland-woodland in east-central New Mexico",Bender,2005,2007,2010,Human-Wildlife Interactions,5,2,276,286,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,34.28880,-105.43418,46,22,16,0,0,0,0,0,0,0,0,0,0,2,0,0,1,13,0,0,0,6
"Survival, Cause-Specific Mortality and Harvesting of Male Black-Tailed Deer in Washington",Bender,1999,2001,2004,The Journal of Wildlife Management,68,4,870,878,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,47.32023,-122.07159,58,26,24,13,12,1,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,2
"Survival, Cause-Specific Mortality and Harvesting of Male Black-Tailed Deer in Washington",Bender,1999,2001,2004,The Journal of Wildlife Management,68,4,870,878,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,46.91317,-122.88729,66,28,27,23,20,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1
Factors influencing survival and productivity of pronghorn in a semiarid grass-woodland in east-central New Mexico,Bender,2006,2011,2013,Human-Wildlife Interactions,7,2,313,324,Artiodactyla,Antilocapridae,Antilocapra,americana,Adult,34.25010,-105.42080,71,37,34,6,6,0,0,0,0,0,0,0,0,1,5,0,6,16,0,0,0,3
Relations between nutritional condition and survival of North American elk,Bender,2002,2003,2008,Wildlife Biology,14,1,70,80,Artiodactyla,Cervidae,Cervus,elaphus,Adult,48.46938,-121.36820,99,17,17,8,4,4,0,0,0,0,0,0,0,3,0,0,4,2,0,0,0,0
Mortality of Rocky Mountain Elk in Michigan due to Meningeal worm,Bender,1981,1994,2005,Journal of Wildlife Diseases,41,1,134,140,Artiodactyla,Cervidae,Cervus,canadensis,Adult,45.15005,-84.19873,100,67,63,56,40,16,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,4
Population demographics and dynamics of colonizing elk in a desert grassland-scrubland,Bender,2003,2006,2010,Journal of Fish and Wildlife Management,1,2,152,160,Artiodactyla,Cervidae,Cervus,elaphus,Adult,35.99997,-108.00078,141,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Factors influencing survival of desert mule deer in the greater San Andres Mountains, New Mexico",Bender,2003,2009,2012,Human-Wildlife Interactions,6,2,245,260,Artiodactyla,Cervidae,Odocoileus,hemionus,Adult,34.28880,-105.43418,169,72,58,1,1,0,3,0,0,0,0,0,0,15,7,0,10,20,0,2,0,14
Population Ecology of Columbian Black-Tailed Deer in Urban Vancouver,Bender,1999,2001,2004,The Northwestern Naturalist,85,2,53,59,Artiodactyla,Cervidae,Odocoileus,hemionus,Juvenile,45.64283,-122.63222,NA,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mortality of Rocky Mountain Elk in Michigan due to Meningeal worm,Bender,1981,1994,2005,Journal of Wildlife Diseases,41,1,134,140,Artiodactyla,Cervidae,Cervus,elaphus,Juvenile,45.15005,-84.19873,NA,9,8,5,4,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1
Demography and dispersal of thirteen-lined ground squirrels in relation to prairie dogs in Colorado shortgrass steppe,Benson,2005,2005,2008,Thesis: California State University,,,1,70,Rodentia,Sciuridae,Spermophilus,tridecemlineatus,Juvenile,40.75784,-104.02963,20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Demography and dispersal of thirteen-lined ground squirrels in relation to prairie dogs in Colorado shortgrass steppe,Benson,2005,2005,2008,Thesis: California State University,,,1,70,Rodentia,Sciuridae,Spermophilus,tridecemlineatus,Juvenile,40.75784,-104.02963,29,11,11,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0
"Intentional genetic introgression influences survival of adults and subadults in a small, inbred felid populations",Benson,1981,2006,2011,Journal of Animal Ecology,80,5,858,867,Carnivora,Felidae,Puma,concolor,Multiple,27.11451,-81.28540,144,93,71,0,0,0,18,0,0,0,0,0,0,0,0,0,14,0,0,0,39,22
A protected area influences genotype-specific survival and the structure of a Canis hybrid zone,Benson,2004,2011,2014,Ecology,95,2,254,264,Carnivora,Canidae,Canis,latrans,Adult,45.73671,-78.65751,147,49,44,29,29,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5
