Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Survival and cause-specific mortality of adult female eastern wild turkeys in a bottomland hardwood forest,Byrne,2002,2010,2018,The Southeastern Naturalist,15,2,345,356,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,30.52083,-91.70208,54,31,27,0,0,0,0,0,0,0,0,0,27,0,0,0,0,4
Survival and movements of satellite-tracked Bonelli's Eagles during their first winter,Cadahia,2002,2002,2005,Ibis,147,2,415,419,Accipitriformes,Accipitridae,Hieraaetus,fasciatus,Juvenile,39.55632,-0.35506,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Survival of Male Merriam's Turkeys in the Wyoming Black Hills,Cahoy,2008,2009,2009,Thesis: South Dakota State University,,,1,55,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,44.20620,-104.32217,151,85,49,29,29,0,1,0,0,0,0,0,18,0,0,0,1,36
Survival of black grouse in the French Alps,Caizergues,1982,1995,1997,Wildlife Biology,3,3,177,186,Galliformes,Phasianidae,Tetrao,tetrix,Juvenile,44.86660,6.75049,41,18,13,0,1,0,0,0,0,0,0,0,12,0,0,0,0,5
Survival of black grouse in the French Alps,Caizergues,1982,1995,1997,Wildlife Biology,3,3,177,186,Galliformes,Phasianidae,Tetrao,tetrix,Adult,44.86660,6.75049,52,27,27,2,4,0,0,0,0,0,0,0,23,0,0,0,0,0
Initial effects of prescribed burning on survival and nesting success of northern bobwhites in west-central Texas,Carter,1994,1995,2002,Quail V: Proc Nat Quail Sym,,,129,134,Galliformes,Odontophoridae,Colinus,virginianus,Adult,31.41282,-100.73326,211,114,97,0,0,0,0,0,0,0,0,0,93,0,0,0,4,17
Survival Demographics of Montezuma quail in Southeast Arizona,Chavarria,2007,2010,2017,National Quail Proceedings,8,,1,6,Galliformes,Odontophoridae,Cyrtonyx,montezumae,Adult,32.50324,-110.66126,54,28,11,0,0,0,0,0,0,0,0,0,8,0,0,0,3,17
Survival and Habitat Use of Mallard Broods in the San Joaquin Valley,Chouinard,1996,1997,2007,Auk,124,4,1305,1316,Anseriformes,Anatidae,Anas,platyrhynchos,Juvenile,37.16629,-120.83396,112,82,65,0,0,0,0,0,0,0,0,4,54,0,0,0,7,17
"Survival, fall movements, and habitat use of hunted and non-hunted ruffed grouse in northern Michigan",Clark,1993,1998,2000,Thesis: Michigan State University,,,1,174,Galliformes,Phasianidae,Bonasa,umbellus,Multiple,45.34573,-84.45962,502,235,186,24,24,0,0,0,0,0,3,0,153,6,0,0,0,49
"Survival, fall movements, and habitat use of hunted and non-hunted ruffed grouse in northern Michigan",Clark,1993,1998,2000,Thesis: Michigan State University,,,1,174,Galliformes,Phasianidae,Bonasa,umbellus,Multiple,44.58742,-83.90498,568,326,274,24,24,0,0,0,0,0,7,0,238,5,0,0,0,52
